Date,Adj Close,Close,High,Low,Open,Volume
2000-01-03,205.71771240234375,397.5,417.1875,390.0,417.1875,1681920
2000-01-04,193.10293579101562,373.125,391.40625,373.125,390.0,2403280
2000-01-05,200.86590576171875,388.125,390.0,371.25,381.5625,1742547
2000-01-06,210.56954956054688,406.875,410.15625,384.375,384.84375,1863280
2000-01-07,209.59918212890625,405.0,412.03125,396.09375,405.0,1394587
2000-01-10,208.87136840820312,403.59375,412.03125,401.71875,412.03125,850320
2000-01-11,206.20291137695312,398.4375,407.8125,396.5625,400.3125,996653
2000-01-12,213.4805908203125,412.5,412.5,400.78125,401.71875,1145773
2000-01-13,215.90658569335938,417.1875,420.46875,410.15625,412.5,1237987
2000-01-14,225.125,435.0,439.21875,423.28125,423.75,2225493
2000-01-18,227.06581115722656,438.75,442.03125,428.90625,435.46875,1571720
2000-01-19,231.91749572753906,448.125,450.9375,434.0625,435.0,1955293
2000-01-20,227.49029541015625,439.5703125,450.46875,428.90625,449.0625,1358293
2000-01-21,219.06028747558594,423.28125,438.75,419.0625,436.40625,1547960
2000-01-24,214.20843505859375,413.90625,427.5,409.6875,427.5,1143213
2000-01-25,216.8769989013672,419.0625,431.25,413.4375,426.09375,1541867
2000-01-26,225.61024475097656,435.9375,439.21875,422.34375,423.75,1334387
2000-01-27,229.00648498535156,442.5,446.25,433.125,439.6875,1449120
2000-01-28,217.84722900390625,420.9375,438.75,420.0,431.25,1207120
2000-01-31,221.2436065673828,427.5,434.53125,421.875,424.6875,1360480
2000-02-01,226.09532165527344,436.875,438.75,430.78125,431.71875,1197400
2000-02-02,224.15464782714844,433.125,439.6875,427.5,437.34375,1318920
2000-02-03,219.18234252929688,422.34375,435.0,412.5,433.59375,1900267
2000-02-04,213.1006317138672,410.625,433.125,406.40625,426.5625,1466240
2000-02-07,211.64114379882812,407.8125,421.40625,406.40625,414.84375,1244160
2000-02-08,217.96600341796875,420.0,421.40625,413.4375,414.84375,1320587
2000-02-09,210.91136169433594,406.40625,418.125,404.53125,413.4375,1265280
2000-02-10,208.96519470214844,402.65625,413.90625,397.5,408.75,1124307
2000-02-11,210.1814727783203,405.0,413.90625,396.5625,406.40625,1326307
2000-02-14,210.1814727783203,405.0,409.21875,390.46875,406.875,1153773
2000-02-15,213.58726501464844,411.5625,412.03125,395.15625,396.5625,1403133
2000-02-16,208.7218475341797,402.1875,411.5625,397.96875,405.9375,910360
2000-02-17,204.34312438964844,393.75,410.625,391.40625,406.875,1287480
2000-02-18,200.20767211914062,385.78125,395.15625,374.53125,393.28125,2039120
2000-02-22,198.50474548339844,382.5,392.8125,375.0,385.3125,1947453
2000-02-23,198.2615203857422,382.03125,387.65625,378.75,381.5625,1555347
2000-02-24,191.6933135986328,369.375,377.8125,360.0,375.0,3156653
2000-02-25,186.82798767089844,360.0,380.15625,353.4375,370.3125,1884933
2000-02-28,190.72024536132812,367.5,379.6875,367.5,371.25,3225133
2000-02-29,201.42393493652344,388.125,390.9375,377.34375,378.75,2547773
2000-03-01,200.93743896484375,387.1875,399.375,384.375,399.375,1671987
2000-03-02,200.4508514404297,386.25,390.0,375.0,389.53125,1161320
2000-03-03,207.99205017089844,400.78125,403.59375,396.5625,401.25,1851347
2000-03-06,203.1267852783203,391.40625,406.875,382.96875,405.0,1241707
2000-03-07,196.0720977783203,377.8125,396.5625,377.8125,396.09375,1145400
2000-03-08,196.55862426757812,378.75,382.03125,368.90625,380.625,1180720
2000-03-09,196.0720977783203,377.8125,377.8125,363.75,367.96875,1507347
2000-03-10,190.72024536132812,367.5,380.15625,365.625,373.59375,1227107
2000-03-13,194.36924743652344,374.53125,374.53125,358.125,359.53125,1928827
2000-03-14,193.63937377929688,373.125,377.8125,369.375,375.9375,1192147
2000-03-15,203.3700408935547,391.875,391.875,366.5625,369.84375,2380000
2000-03-16,218.4525146484375,420.9375,427.5,395.625,402.1875,3432440
2000-03-17,221.85826110839844,427.5,433.125,420.9375,424.21875,1960440
2000-03-20,218.69577026367188,421.40625,430.78125,414.84375,420.9375,1368040
2000-03-21,225.9936981201172,435.46875,436.40625,417.1875,422.34375,2067453
2000-03-22,228.66976928710938,440.625,442.5,432.1875,436.875,1489867
2000-03-23,240.10313415527344,462.65625,463.59375,435.9375,440.625,2188560
2000-03-24,235.72442626953125,454.21875,467.8125,447.1875,463.59375,1836480
2000-03-27,233.77835083007812,450.46875,462.65625,437.34375,454.21875,1287347
2000-03-28,237.42709350585938,457.5,464.0625,442.96875,443.4375,1432693
2000-03-29,236.45419311523438,455.625,460.3125,446.25,457.5,1127707
2000-03-30,237.42709350585938,457.5,457.5,440.15625,450.9375,1165987
2000-03-31,233.0484161376953,449.0625,455.625,443.4375,450.46875,1165853
2000-04-03,241.31951904296875,465.0,468.28125,449.0625,450.0,1635680
2000-04-04,229.64280700683594,442.5,473.90625,420.0,465.0,2371267
2000-04-05,228.42642211914062,440.15625,446.25,435.0,440.625,1242960
2000-04-06,230.85910034179688,444.84375,449.0625,441.09375,446.25,850773
2000-04-07,229.64280700683594,442.5,450.0,441.09375,448.125,946347
2000-04-10,242.29257202148438,466.875,469.6875,441.5625,442.5,1570227
2000-04-11,246.91465759277344,475.78125,475.78125,460.3125,465.9375,1530827
2000-04-12,245.2117462158203,472.5,490.78125,469.21875,481.40625,2113693
2000-04-13,243.50885009765625,469.21875,472.5,461.25,472.5,1447773
2000-04-14,225.7503662109375,435.0,457.03125,427.96875,457.03125,2168360
2000-04-17,230.61581420898438,444.375,448.59375,425.625,429.375,1990613
2000-04-18,241.8059844970703,465.9375,472.5,444.84375,447.1875,1495307
2000-04-19,232.0753936767578,447.1875,465.9375,431.71875,465.46875,2383360
2000-04-20,238.4002227783203,459.375,459.375,448.125,456.5625,1038427
2000-04-24,240.58963012695312,463.59375,465.9375,453.75,454.6875,1076920
2000-04-25,251.05007934570312,483.75,483.75,466.875,467.34375,1270547
2000-04-26,243.26556396484375,468.75,480.9375,465.0,475.78125,1122773
2000-04-27,239.98765563964844,461.25,464.53125,451.40625,460.3125,1119120
2000-04-28,230.23220825195312,442.5,470.15625,442.03125,469.6875,1106813
2000-05-01,235.35389709472656,452.34375,465.0,442.96875,451.40625,895467
2000-05-02,238.5244598388672,458.4375,463.125,448.59375,452.8125,828907
2000-05-03,234.62217712402344,450.9375,469.6875,448.125,456.09375,1189093
2000-05-04,228.76873779296875,439.6875,452.8125,435.46875,448.59375,1250440
2000-05-05,232.42723083496094,446.71875,449.53125,434.53125,434.53125,800613
2000-05-08,233.15879821777344,448.125,453.28125,442.5,444.84375,973013
2000-05-09,232.1832275390625,446.25,456.5625,441.5625,452.8125,947107
2000-05-10,220.23269653320312,423.28125,443.90625,422.8125,438.28125,1285667
2000-05-11,229.74440002441406,441.5625,445.78125,427.5,432.65625,1112933
2000-05-12,234.86611938476562,451.40625,457.03125,437.34375,441.5625,1167787
2000-05-15,245.3533477783203,471.5625,472.96875,449.53125,452.34375,1219827
2000-05-16,240.71937561035156,462.65625,475.3125,459.375,473.90625,1153960
2000-05-17,238.28054809570312,457.96875,468.75,456.5625,462.1875,943093
2000-05-18,240.2316131591797,461.71875,472.96875,460.3125,465.0,1080640
2000-05-19,237.79270935058594,457.03125,460.3125,451.40625,456.5625,1020707
2000-05-22,239.25607299804688,459.84375,462.1875,446.71875,460.3125,855747
