Date,Adj Close,Close,High,Low,Open,Volume
2000-01-03,61.03823471069336,88.3125,94.375,87.75,94.1875,1822600
2000-01-04,57.19365310668945,82.75,87.5,82.25,87.0,1647700
2000-01-05,54.51538848876953,78.875,81.875,78.375,80.875,1516600
2000-01-06,56.84808349609375,82.25,84.5,78.625,78.625,1845100
2000-01-07,57.0640754699707,82.5625,83.1875,79.875,83.0625,1127400
2000-01-10,58.316802978515625,84.375,84.875,81.75,81.75,803100
2000-01-11,58.619197845458984,84.8125,86.25,84.5625,85.0,808600
2000-01-12,58.316802978515625,84.375,86.0,83.375,84.125,916100
2000-01-13,58.403175354003906,84.5,85.125,82.875,85.125,711000
2000-01-14,59.180763244628906,85.625,86.9375,85.3125,85.5,607000
2000-01-18,60.04471206665039,86.875,89.125,84.75,85.0,1095700
2000-01-19,60.51987075805664,87.5625,89.375,86.75,86.875,636900
2000-01-20,59.4782600402832,85.9375,87.9375,84.875,87.0,621800
2000-01-21,59.305213928222656,85.6875,86.1875,84.5625,86.1875,542500
2000-01-24,56.58002853393555,81.75,87.5,81.5,87.5,712900
2000-01-25,58.0507698059082,83.875,84.1875,82.375,83.0,749300
2000-01-26,61.07876205444336,88.25,88.5,84.125,84.125,1086600
2000-01-27,61.59784698486328,89.0,89.9375,87.625,88.25,702000
2000-01-28,60.21359634399414,87.0,88.0,86.125,87.5,776800
2000-01-31,63.41462707519531,91.625,91.6875,86.5,87.0,801800
2000-02-01,63.15509033203125,91.25,93.0,90.5,92.875,813100
2000-02-02,63.06855392456055,91.125,91.625,88.625,90.75,964700
2000-02-03,59.08893585205078,85.375,91.125,84.8125,90.0,2213300
2000-02-04,58.61308288574219,84.6875,87.25,83.5625,87.25,1451700
2000-02-07,59.34849166870117,85.75,86.5,83.5,84.4375,929800
2000-02-08,61.90061569213867,89.4375,89.625,85.75,85.75,1024800
2000-02-09,60.04056167602539,86.75,89.4375,86.5625,89.4375,397100
2000-02-10,59.95408248901367,86.625,87.3125,85.5,86.75,503200
2000-02-11,58.915889739990234,85.125,88.75,85.0,86.4375,856900
2000-02-14,59.8675422668457,86.5,86.875,84.625,85.125,627800
2000-02-15,59.8675422668457,86.5,86.625,85.125,86.25,542400
2000-02-16,57.401920318603516,82.9375,87.3125,82.875,86.75,720300
2000-02-17,56.839569091796875,82.125,84.75,81.125,84.75,895500
2000-02-18,55.93117904663086,80.8125,84.5,80.75,84.5,925500
2000-02-22,56.45028305053711,81.5625,82.375,80.6875,81.25,720100
2000-02-23,59.34849166870117,85.75,87.0,81.0625,81.3125,702900
2000-02-24,62.03042221069336,89.625,89.9375,85.5,85.8125,1199800
2000-02-25,61.77085876464844,89.25,94.0,88.25,89.4375,1333000
2000-02-28,60.90569305419922,88.0,89.25,87.0,89.25,518000
2000-02-29,64.02023315429688,92.5,92.5,88.0,88.75,1381200
2000-03-01,65.57746887207031,94.75,96.75,93.1875,93.25,1488900
2000-03-02,66.61560821533203,96.25,97.875,94.125,95.25,1819200
2000-03-03,70.94134521484375,102.5,102.5,96.75,97.0,2295900
2000-03-06,71.76319122314453,103.6875,105.25,102.375,102.75,1421000
2000-03-07,72.58509063720703,104.875,105.75,102.4375,103.9375,1041300
2000-03-08,70.4222183227539,101.75,105.375,99.6875,105.0,1041100
2000-03-09,74.18557739257812,107.1875,108.1875,101.25,101.75,535500
2000-03-10,77.6894302368164,112.25,119.0,108.5,109.75,2034400
2000-03-13,76.3917007446289,110.375,115.5,106.5,107.5,1454200
2000-03-14,72.49857330322266,104.75,112.875,103.5,111.5,653100
2000-03-15,71.67668914794922,103.5625,105.5,101.375,102.5,700300
2000-03-16,71.50367736816406,103.3125,105.0,99.25,103.875,2024800
2000-03-17,80.630859375,116.5,117.375,103.25,104.125,2099400
2000-03-20,78.51129150390625,113.4375,123.0,112.5625,117.625,2254000
2000-03-21,81.84204864501953,118.25,119.8125,106.5,111.0,2692800
2000-03-22,81.08504486083984,117.15625,117.9375,114.8125,114.875,1258900
2000-03-23,82.36114501953125,119.0,119.0,115.125,116.5,1656900
2000-03-24,83.961669921875,121.3125,128.0,117.6875,119.0,1934400
2000-03-27,77.51637268066406,112.0,119.375,111.75,118.25,1315000
2000-03-28,78.38148498535156,113.25,115.5,108.5,109.5,1649400
2000-03-29,79.0303726196289,114.1875,116.125,110.75,114.0,754300
2000-03-30,73.9693374633789,106.875,115.0,105.125,112.625,1241200
2000-03-31,72.8446044921875,105.25,111.875,103.3125,108.0,1693300
2000-04-03,73.01768493652344,105.5,110.8125,105.5,108.75,1789500
2000-04-04,67.9998779296875,98.25,106.25,91.125,106.0,3739600
2000-04-05,67.43749237060547,97.4375,99.625,93.5,97.5,3238700
2000-04-06,73.36371612548828,106.0,106.0,100.0,101.0,1675700
2000-04-07,70.94134521484375,102.5,107.25,101.1875,106.25,1373500
2000-04-10,74.09909057617188,107.0625,109.125,103.5625,104.0,1749900
2000-04-11,72.54181671142578,104.8125,108.3125,104.3125,107.125,1147200
2000-04-12,66.83189392089844,96.5625,107.25,96.5,106.5,2598500
2000-04-13,65.92352294921875,95.25,98.125,92.3125,96.75,3377700
2000-04-14,57.27214050292969,82.75,92.75,79.4375,92.75,4855800
2000-04-17,60.55967330932617,87.5,87.75,81.0,81.75,3489600
2000-04-18,64.88534545898438,93.75,94.9375,86.875,87.5,2191500
2000-04-19,63.79909896850586,92.0625,93.5,89.625,93.4375,1390200
2000-04-20,61.54684829711914,88.8125,91.8125,88.0,91.8125,1061100
2000-04-24,60.20415115356445,86.875,91.5,84.625,88.8125,1764300
2000-04-25,67.26408386230469,97.0625,97.875,87.5,88.625,1341500
2000-04-26,65.48826599121094,94.5,99.125,94.0,97.5625,1626100
2000-04-27,65.96467590332031,95.1875,96.25,90.375,91.5,1772400
2000-04-28,64.62203216552734,93.25,97.5,90.875,96.25,1145600
2000-05-01,67.22074127197266,97.0,101.625,93.25,93.25,2319300
2000-05-02,64.44874572753906,93.0,97.625,92.5,95.0,1666500
2000-05-03,63.149383544921875,91.125,95.75,89.6875,92.25,1931000
2000-05-04,62.49970245361328,90.1875,92.0,88.125,91.375,920700
2000-05-05,62.283138275146484,89.875,92.1875,87.4375,89.375,1378100
2000-05-08,60.507354736328125,87.3125,87.875,85.75,86.0,2817000
2000-05-09,59.337894439697266,85.625,87.0,84.75,86.0,1739100
2000-05-10,56.43598175048828,81.4375,83.6875,80.5625,83.0,2340600
2000-05-11,56.046173095703125,80.875,83.25,80.4375,81.5,2276000
2000-05-12,58.0601806640625,83.78125,84.875,80.25,80.25,1911200
2000-05-15,60.33412170410156,87.0625,88.0,83.8125,83.8125,1668900
2000-05-16,59.25127410888672,85.5,89.25,84.0,88.0,2538400
2000-05-17,58.6882209777832,84.6875,86.0,83.0,85.125,1231000
2000-05-18,59.07803726196289,85.25,87.5,83.875,83.875,1493000
2000-05-19,58.60160446166992,84.5625,85.0,82.125,84.25,1537500
2000-05-22,56.82581329345703,82.0,83.875,80.625,83.5,1345600
2000-05-23,57.38884735107422,82.8125,85.5,81.5,81.875,1203900
2000-05-24,55.43980026245117,80.0,83.625,79.5,82.625,1530200
2000-05-25,50.588829040527344,73.0,83.375,71.9375,80.5,4030100
2000-05-26,48.37990951538086,69.8125,73.375,69.375,73.125,2378100
2000-05-30,49.89581298828125,72.0,73.4375,70.625,71.5,2205300
2000-05-31,50.9786376953125,73.5625,74.875,71.125,72.0,1363800
2000-06-01,52.92769241333008,76.375,77.6875,73.625,74.5625,1684900
2000-06-02,60.20415115356445,86.875,87.25,83.5,84.5,3567900
2000-06-05,58.558284759521484,84.5,87.875,84.5,86.875,1576600
2000-06-06,57.60541915893555,83.125,85.125,81.75,84.0,1033200
2000-06-07,60.074241638183594,86.6875,88.0,82.375,82.875,1319900
2000-06-08,58.94809341430664,85.0625,87.625,85.0625,86.875,1255000
2000-06-09,57.69207000732422,83.25,86.5625,83.25,85.125,1006800
2000-06-12,57.7353515625,83.3125,84.3125,81.75,83.3125,732800
2000-06-13,58.99140548706055,85.125,85.75,82.625,83.5,773200
2000-06-14,62.326473236083984,89.9375,90.375,84.8125,85.1875,1953600
2000-06-15,62.54304885864258,90.25,90.8125,87.0,89.9375,2120900
2000-06-16,62.326473236083984,89.9375,91.4375,87.625,90.25,1792300
2000-06-19,63.49591827392578,91.625,93.0,89.5,90.1875,2092900
2000-06-20,61.6767692565918,89.0,93.4375,87.375,91.5,2362600
2000-06-21,60.030906677246094,86.625,88.375,84.25,88.0,2875200
2000-06-22,58.38503646850586,84.25,86.625,82.0,86.625,1480100
2000-06-23,59.59776306152344,86.0,87.0,84.0,85.25,1616700
2000-06-26,60.81055450439453,87.75,88.0,85.75,86.75,1175700
2000-06-27,61.200347900390625,88.3125,89.375,87.625,87.75,1175700
2000-06-28,62.283138275146484,89.875,90.9375,88.0,88.0,1180400
2000-06-29,64.18890380859375,92.625,93.125,88.3125,90.125,1385400
2000-06-30,65.68318176269531,94.78125,95.9375,92.5625,93.0,2540600
2000-07-03,65.79145812988281,94.9375,94.9375,93.4375,94.375,453100
2000-07-05,66.48446655273438,95.9375,97.0,93.875,94.375,1077000
2000-07-06,64.57868194580078,93.1875,94.0,88.375,90.0,3343100
2000-07-07,65.79145812988281,94.9375,95.25,90.9375,93.1875,1265600
2000-07-10,67.69719696044922,97.6875,98.875,93.8125,94.875,1498700
2000-07-11,68.26028442382812,98.5,99.1875,97.0625,97.5625,1249100
2000-07-12,70.64244079589844,101.9375,104.25,100.125,100.125,2751000
2000-07-13,72.24497985839844,104.25,104.25,99.5,100.5,2207300
2000-07-14,72.20169830322266,104.1875,105.25,102.875,104.25,1143000
2000-07-17,69.29977416992188,100.0,104.125,100.0,104.0625,1225000
2000-07-18,71.98512268066406,103.875,104.25,101.125,102.0,2449700
2000-07-19,69.8194808959961,100.75,103.5625,100.3125,103.1875,874200
2000-07-20,71.94085693359375,103.6875,104.9375,101.0,101.0,1027700
2000-07-21,72.33113098144531,104.25,105.6875,102.8125,103.625,1155300
2000-07-24,73.11170196533203,105.375,106.9375,102.75,104.75,1457700
2000-07-25,73.54534912109375,106.0,106.75,103.6875,105.75,1092500
2000-07-26,73.50196075439453,105.9375,105.9375,102.75,105.625,1247400
2000-07-27,69.38237762451172,100.0,106.375,99.875,105.75,1299100
2000-07-28,68.34164428710938,98.5,101.0625,95.9375,100.125,1370800
2000-07-31,68.47172546386719,98.6875,98.9375,94.5,96.0,1734100
2000-08-01,69.81603240966797,100.625,102.25,97.0,99.0,1990600
2000-08-02,70.8567886352539,102.125,102.9375,99.25,99.25,13171500
2000-08-03,73.2851333618164,105.625,105.625,100.5,101.625,2700200
2000-08-04,77.18791961669922,111.25,112.9375,108.0,109.0,3709300
2000-08-07,79.13931274414062,114.0625,115.0,109.75,111.5,2457700
2000-08-08,78.402099609375,113.0,115.3125,112.8125,114.0625,1984600
2000-08-09,79.74638366699219,114.9375,116.75,111.875,113.0,1488800
2000-08-10,77.70831298828125,112.0,116.75,111.375,115.375,1188900
2000-08-11,83.17214965820312,119.875,119.875,111.75,111.75,1489600
2000-08-14,83.77923583984375,120.75,121.75,116.625,118.0,2121700
2000-08-15,82.00130462646484,118.1875,120.8125,117.75,120.8125,1548900
2000-08-16,78.402099609375,113.0,118.375,111.625,117.0,2521000
2000-08-17,82.30488586425781,118.625,118.875,113.0625,113.0625,1780400
2000-08-18,81.17743682861328,117.0,119.0,116.0,118.875,853900
2000-08-21,81.74114990234375,117.8125,118.75,116.25,116.9375,1082000
2000-08-22,83.17214965820312,119.875,121.5,117.75,117.9375,2178800
2000-08-23,82.56504821777344,119.0,119.75,118.0625,119.75,1650600
2000-08-24,82.04463958740234,118.25,120.875,117.9375,119.0625,1049600
2000-08-25,82.82525634765625,119.375,120.1875,117.125,118.5,984200
2000-08-28,84.95006561279297,122.4375,124.5,118.25,118.25,1422700
2000-08-29,88.4192123413086,127.4375,127.4375,121.375,121.5,2495500
2000-08-30,85.8173828125,123.6875,126.5,123.125,125.5,2136000
2000-08-31,89.85018920898438,129.5,129.5,123.875,124.5,1394100
2000-09-01,89.9369125366211,129.625,129.8125,127.125,128.0,993800
2000-09-05,89.3731689453125,128.8125,130.0625,127.1875,128.6875,1184400
2000-09-06,88.89617156982422,128.125,132.875,127.5,128.6875,2104200
2000-09-07,89.28644561767578,128.6875,129.5,125.9375,127.875,1046800
2000-09-08,86.20762634277344,124.25,129.1875,124.0,127.5,1358800
2000-09-11,91.58475494384766,132.0,132.4375,126.3125,127.0,2718400
2000-09-12,91.10774993896484,131.3125,133.625,129.6875,132.3125,1905100
2000-09-13,89.15637969970703,128.5,130.75,127.375,129.25,1437400
2000-09-14,89.50331115722656,129.0,131.75,128.6875,129.375,1278100
2000-09-15,86.64127349853516,124.875,128.125,124.3125,128.0,1441100
2000-09-18,82.26153564453125,118.5625,124.125,117.75,124.0,2410400
2000-09-19,83.21546173095703,119.9375,121.4375,115.3125,118.5625,3284700
2000-09-20,81.87122344970703,118.0,122.9375,114.9375,121.5,2067500
2000-09-21,78.57553100585938,113.25,114.3125,111.25,114.0,2324000
2000-09-22,79.70303344726562,114.875,115.5,109.5,110.0,2382900
2000-09-25,80.83051300048828,116.5,118.6875,116.0625,116.125,1337900
2000-09-26,76.9277114868164,110.875,115.625,109.5,115.125,2032900
2000-09-27,74.28251647949219,107.0625,111.75,105.75,111.0,2008800
2000-09-28,78.402099609375,113.0,114.5625,107.0,107.0,1891700
2000-09-29,79.13931274414062,114.0625,117.25,111.4375,111.5,2193700
2000-10-02,80.0499038696289,115.375,116.875,113.125,113.125,1258700
2000-10-03,79.00916290283203,113.875,116.875,113.0,115.625,1502600
2000-10-04,75.93036651611328,109.4375,113.5625,108.625,113.5,1757900
2000-10-05,79.70303344726562,114.875,115.9375,109.75,109.75,1853900
2000-10-06,75.54009246826172,108.875,113.625,105.4375,113.375,3625100
2000-10-09,73.0249252319336,105.25,107.625,103.6875,107.0,1612200
2000-10-10,71.24702453613281,102.6875,105.75,100.0,105.3125,2744500
2000-10-11,72.15767669677734,104.0,106.0,96.5625,99.5,5509500
2000-10-12,65.43627166748047,94.3125,104.0,94.0625,104.0,3723100
2000-10-13,70.42312622070312,101.5,102.0,94.3125,94.3125,2798700
2000-10-16,71.89749145507812,103.625,106.0625,98.5,99.75,3475400
2000-10-17,68.86199188232422,99.25,103.8125,96.25,103.375,2111700
2000-10-18,67.99475860595703,98.0,101.4375,91.875,95.5,4426400
2000-10-19,69.85820007324219,100.5625,104.4375,99.75,101.75,2322600
2000-10-20,72.89743041992188,104.9375,106.3125,99.75,100.5625,1707400
2000-10-23,71.16072082519531,102.4375,105.125,101.25,104.6875,2019600
2000-10-24,70.2490005493164,101.125,106.5,99.0,103.625,1904000
2000-10-25,66.81900787353516,96.1875,100.375,95.75,99.375,2166600
2000-10-26,64.5613021850586,92.9375,98.0,90.875,96.1875,2352000
2000-10-27,64.60472106933594,93.0,95.75,91.875,94.0,2097000
2000-10-30,67.03609466552734,96.5,98.4375,92.625,92.75,1803800
2000-10-31,69.33723449707031,99.8125,101.4375,94.1875,95.5,1863800
2000-11-01,67.1663589477539,96.6875,97.75,94.5625,96.75,2094600
2000-11-02,68.94642639160156,99.25,100.0,96.3125,97.625,1505800
2000-11-03,69.77136993408203,100.4375,101.625,99.25,99.25,1658600
2000-11-06,66.73217010498047,96.0625,99.25,96.0,98.375,1927800
2000-11-07,65.12574005126953,93.75,97.0,93.0,96.0625,1756700
2000-11-08,64.2139892578125,92.4375,93.5,90.625,92.5,2051000
2000-11-09,63.82321548461914,91.875,93.0,89.25,92.0,1845200
2000-11-10,61.9562873840332,89.1875,91.625,87.125,89.0,2604300
2000-11-13,60.00250244140625,86.375,87.9375,83.3125,86.375,3201700
2000-11-14,61.73919677734375,88.875,92.0,88.25,90.0,2167100
2000-11-15,62.56414031982422,90.0625,92.25,87.0625,87.25,1851400
2000-11-16,63.51929473876953,91.4375,93.375,88.875,90.0625,1223400
2000-11-17,61.17477035522461,88.0625,91.3125,86.5,91.1875,1398800
2000-11-20,57.65801239013672,83.0,88.1875,82.75,88.0,1663000
2000-11-21,58.482940673828125,84.1875,84.75,79.625,82.0,2066800
2000-11-22,55.53056335449219,79.9375,83.125,79.25,82.875,2296900
2000-11-24,56.61601638793945,81.5,82.5,80.6875,80.75,1086200
2000-11-27,57.31065368652344,82.5,83.5,81.0625,82.5,1883700
2000-11-28,55.921295166015625,80.5,84.25,80.5,83.75,1701300
