Date,Adj Close,Close,High,Low,Open,Volume
2000-01-03,18.81438636779785,36.875,37.375,35.0,35.375,5298400
2000-01-04,18.3360652923584,35.9375,37.5625,35.75,36.5625,4555700
2000-01-05,17.88962173461914,35.0625,36.3125,34.875,35.8125,5701900
2000-01-06,18.686840057373047,36.625,36.875,34.5,34.75,6863100
2000-01-07,19.197059631347656,37.625,38.625,36.6875,36.875,10527800
2000-01-10,18.81438636779785,36.875,38.1875,36.625,38.125,6402500
2000-01-11,18.75062370300293,36.75,37.625,36.625,37.25,5607800
2000-01-12,18.52739715576172,36.3125,37.25,36.3125,36.75,4267300
2000-01-13,18.3360652923584,35.9375,36.625,35.9375,36.3125,3144200
2000-01-14,18.463619232177734,36.1875,36.8125,35.9375,36.0625,5413700
2000-01-18,18.495515823364258,36.25,37.0,35.5625,35.9375,4821600
2000-01-19,18.591176986694336,36.4375,36.875,35.9375,36.875,3999700
2000-01-20,18.431724548339844,36.125,36.4375,36.0,36.4375,3106100
2000-01-21,18.431724548339844,36.125,36.4375,35.75,36.1875,4454400
2000-01-24,18.017168045043945,35.3125,36.375,34.8125,36.1875,3785000
2000-01-25,17.50695037841797,34.3125,35.375,33.875,35.3125,4356500
2000-01-26,17.315616607666016,33.9375,34.9375,33.75,34.3125,3174100
2000-01-27,17.251846313476562,33.8125,34.3125,33.25,34.0,2610100
2000-01-28,16.964841842651367,33.25,34.0,33.1875,33.5625,4090800
2000-01-31,17.411291122436523,34.125,34.375,33.25,33.5,2989600
2000-02-01,17.347509384155273,34.0,34.3125,33.6875,34.0,3602600
2000-02-02,16.837284088134766,33.0,33.9375,32.9375,33.75,3289100
2000-02-03,16.869176864624023,33.0625,33.375,32.625,33.0,3662900
2000-02-04,16.709733963012695,32.75,34.125,32.625,33.625,3885600
2000-02-07,16.518396377563477,32.375,33.1875,32.25,32.875,3999700
2000-02-08,16.996734619140625,33.3125,33.75,33.0,33.3125,5010500
2000-02-09,17.347509384155273,34.0,35.125,33.75,35.0,8432500
2000-02-10,17.666400909423828,34.625,34.875,34.0625,34.875,5909500
2000-02-11,17.538837432861328,34.375,35.125,34.0,35.0,5530400
2000-02-14,17.3794002532959,34.0625,34.5,33.9375,34.1875,3493300
2000-02-15,17.443174362182617,34.1875,34.875,34.0,34.0,3909600
2000-02-16,17.347509384155273,34.0,34.8125,33.9375,34.125,4606800
2000-02-17,17.50695037841797,34.3125,34.8125,34.25,34.5625,2847700
2000-02-18,17.47506332397461,34.25,34.75,33.9375,34.375,3664500
2000-02-22,17.698286056518555,34.6875,34.875,34.125,34.3125,2929400
2000-02-23,17.443174362182617,34.1875,34.75,34.0,34.3125,3249300
2000-02-24,17.347509384155273,34.0,34.375,33.1875,34.0625,3612800
2000-02-25,16.709733963012695,32.75,34.375,32.6875,34.0,4205500
2000-02-28,16.964841842651367,33.25,33.875,32.75,33.1875,3654700
2000-02-29,16.390846252441406,32.125,33.0625,32.125,32.875,4635500
