Date,Adj Close,Close,High,Low,Open,Volume
2000-01-03,55.183563232421875,89.65625,100.0,87.0,99.625,91334000
2000-01-04,49.87487030029297,81.03125,87.65625,80.0,86.28125,63567400
2000-01-05,48.143760681152344,78.21875,81.625,69.5,79.9375,93778400
2000-01-06,43.10435485839844,70.03125,78.0,69.875,74.25,58782600
2000-01-07,46.162620544433594,75.0,75.25,66.4609375,67.0,68198600
2000-01-10,49.04777145385742,79.6875,81.5,76.25,81.0,35360800
2000-01-11,44.450740814208984,72.21875,78.9375,70.75,78.0,30575800
2000-01-12,42.54655075073242,69.125,73.75,68.03125,72.5,34455600
2000-01-13,44.04683303833008,71.5625,72.8125,68.8125,72.1875,25146800
2000-01-14,43.219749450683594,70.21875,74.46875,69.75,73.8125,26209200
2000-01-18,42.79660415649414,69.53125,70.625,67.5,68.71875,28503000
2000-01-19,45.12395477294922,73.3125,73.5,68.5,68.5625,30728400
2000-01-20,47.893714904785156,77.8125,78.0,73.5625,74.625,39224000
2000-01-21,47.68212890625,77.46875,80.21875,75.5,79.125,34955000
2000-01-24,43.10435485839844,70.03125,78.5,69.8125,77.875,32170600
2000-01-25,45.854854583740234,74.5,74.96875,70.0,71.8125,39671400
2000-01-26,38.353458404541016,62.3125,65.4375,60.0,64.5,136953200
2000-01-27,36.930084228515625,60.0,64.0,58.6875,63.34375,62571000
2000-01-28,34.025691986083984,55.28125,60.6875,52.8125,60.53125,85675000
2000-01-31,39.0843391418457,63.5,63.75,56.09375,56.3125,80518000
2000-02-01,41.87333297729492,68.03125,70.0,65.4609375,65.75,69648400
2000-02-02,43.71985626220703,71.03125,72.75,68.0,68.4375,57368200
2000-02-03,42.835044860839844,69.59375,74.0,66.0,72.5625,52571000
2000-02-04,42.29648208618164,68.71875,70.9375,67.5,70.9375,30028800
2000-02-07,41.06550216674805,66.71875,67.625,65.125,67.21875,20868400
2000-02-08,42.79660415649414,69.53125,69.8125,66.71875,66.75,21450800
2000-02-09,41.027034759521484,66.65625,70.0,66.5,69.75,20141200
2000-02-10,42.14261245727539,68.46875,68.5625,66.5,67.28125,15072200
2000-02-11,40.62309265136719,66.0,68.25,65.75,67.5390625,12419400
2000-02-14,39.12282943725586,63.5625,65.0,62.5,64.6875,23353600
