d,ADF_stat,p_value,corr_with_log_price,n_obs,stationary
0.0,0.8748,0.9928,1.0,5113,False
0.05,-0.3394,0.9197,0.9982,1877,False
0.1,-1.2953,0.6313,0.987,1038,False
0.15,-1.746,0.4076,0.9645,1213,False
0.2,-2.0292,0.2739,0.961,1732,False
0.25,-3.3733,0.0119,0.916,2310,True
0.3,-3.6349,0.0051,0.9272,2839,True
0.35,-4.4016,0.0003,0.9178,3288,True
0.4,-6.1869,0.0,0.8844,3656,True
0.45,-8.3657,0.0,0.8404,3951,True
0.5,-11.5319,0.0,0.777,4187,True
0.55,-14.9438,0.0,0.6943,4374,True
0.6,-19.1211,0.0,0.5956,4524,True
0.65,-23.4667,0.0,0.499,4644,True
0.7,-28.2114,0.0,0.3989,4742,True
0.75,-32.4937,0.0,0.3142,4821,True
0.8,-36.7278,0.0,0.2391,4886,True
0.85,-40.6277,0.0,0.1777,4941,True
0.9,-44.2381,0.0,0.1271,4989,True
0.95,-47.6133,0.0,0.0835,5035,True
1.0,-50.8784,0.0,0.0269,5112,True
