Ticker,N Events,SR,PSR,DSR,Ann. Return,Ann. Vol,Max DD,Calmar,Hit Ratio
AAPL,247,0.484,0.965,0.297,14.42%,27.87%,68.74%,0.210,50.570%
MSFT,378,0.300,0.884,0.125,8.05%,25.85%,64.18%,0.125,49.476%
NVDA,241,-0.110,0.373,0.004,-5.38%,50.50%,90.92%,-0.059,49.750%
ORCL,223,-0.159,0.299,0.002,-4.24%,27.25%,76.53%,-0.055,47.621%
CSCO,174,-0.240,0.238,0.001,-5.63%,24.16%,61.07%,-0.092,47.196%
IBM,277,-0.402,0.084,0.000,-8.91%,23.19%,79.06%,-0.113,49.030%
INTC,283,0.079,0.596,0.018,2.92%,36.16%,73.14%,0.040,48.244%
TXN,224,0.491,0.938,0.209,14.91%,28.29%,67.95%,0.219,48.988%
QCOM,293,0.377,0.901,0.145,13.88%,34.48%,66.39%,0.209,50.069%
JPM,165,-0.250,0.199,0.001,-6.34%,26.17%,88.75%,-0.071,47.877%
BAC,139,-0.107,0.376,0.004,-3.24%,30.87%,76.18%,-0.043,49.150%
WFC,207,-0.234,0.235,0.001,-7.29%,32.33%,78.63%,-0.093,48.316%
GS,184,-0.257,0.190,0.001,-6.79%,27.42%,88.82%,-0.076,48.163%
AXP,200,0.000,0.500,0.010,0.00%,29.16%,67.57%,0.000,48.362%
USB,227,0.049,0.568,0.015,1.37%,27.68%,61.33%,0.022,49.423%
C,154,0.023,0.532,0.012,0.72%,31.16%,84.74%,0.008,49.628%
COF,191,-0.304,0.173,0.001,-10.43%,36.24%,88.98%,-0.117,47.527%
UNH,180,0.032,0.540,0.012,0.83%,25.77%,61.94%,0.013,48.512%
JNJ,239,0.553,0.947,0.234,10.22%,17.59%,25.95%,0.394,50.670%
ABT,305,0.367,0.896,0.139,8.41%,21.97%,52.01%,0.162,50.377%
MRK,219,0.454,0.940,0.215,10.01%,21.01%,45.93%,0.218,50.849%
PFE,232,-0.019,0.477,0.008,-0.44%,23.08%,40.22%,-0.011,48.170%
AMGN,237,-0.057,0.430,0.006,-1.37%,24.17%,68.27%,-0.020,47.880%
MDT,278,0.085,0.617,0.020,1.90%,22.09%,60.91%,0.031,50.016%
PG,269,0.371,0.899,0.142,6.53%,17.06%,40.92%,0.160,50.273%
KO,227,0.451,0.920,0.173,8.32%,17.74%,32.37%,0.257,50.021%
WMT,298,-0.157,0.284,0.002,-3.06%,19.80%,74.08%,-0.041,49.686%
PEP,249,0.413,0.902,0.146,7.30%,17.04%,42.64%,0.171,49.546%
COST,262,0.310,0.877,0.117,6.44%,20.13%,62.47%,0.103,49.616%
MO,293,0.203,0.734,0.043,4.55%,21.96%,42.75%,0.106,49.353%
AMZN,206,0.113,0.637,0.023,3.74%,32.38%,66.44%,0.056,49.584%
HD,191,0.527,0.949,0.240,12.93%,23.09%,43.41%,0.298,50.518%
MCD,205,0.622,0.973,0.341,13.11%,19.82%,25.12%,0.522,50.665%
NKE,265,0.675,0.983,0.411,23.00%,30.68%,51.09%,0.450,50.419%
LOW,220,0.281,0.830,0.082,7.50%,25.75%,67.58%,0.111,49.759%
GOOGL,130,-0.174,0.358,0.003,-5.29%,31.23%,64.43%,-0.082,47.487%
VZ,249,-0.106,0.356,0.003,-1.96%,18.72%,53.07%,-0.037,49.071%
T,241,-0.118,0.364,0.004,-2.66%,22.89%,60.03%,-0.044,49.044%
CMCSA,221,-0.060,0.417,0.005,-1.44%,24.24%,61.28%,-0.024,49.967%
XOM,313,-0.091,0.381,0.004,-2.42%,26.79%,70.47%,-0.034,48.393%
CVX,274,0.129,0.654,0.026,3.87%,29.51%,55.07%,0.070,48.306%
COP,315,0.338,0.860,0.103,13.73%,38.05%,61.68%,0.223,50.447%
CAT,227,-0.316,0.141,0.000,-8.76%,28.96%,88.52%,-0.099,47.744%
GE,329,-0.277,0.152,0.000,-8.46%,31.91%,95.20%,-0.089,49.856%
HON,172,0.115,0.634,0.023,2.63%,22.54%,50.98%,0.052,47.860%
MMM,275,0.266,0.817,0.075,6.52%,23.72%,56.03%,0.116,51.639%
APD,203,0.289,0.817,0.075,7.26%,24.28%,59.32%,0.122,49.795%
NEM,185,-0.362,0.140,0.000,-11.57%,33.98%,82.67%,-0.140,47.378%
NEE,261,0.090,0.610,0.019,2.17%,23.85%,55.92%,0.039,49.256%
SO,313,0.108,0.643,0.024,2.21%,20.24%,46.98%,0.047,48.121%
PORTFOLIO,-,0.139,0.714,0.038,1.37%,9.77%,33.70%,0.041,50.037%
