path_idx,path_pairs,n_events,sr,ann_return,max_dd
0,"((0, 1), (2, 3), (4, 5))",2071,1.069,0.145,0.2264
1,"((0, 1), (2, 4), (3, 5))",2071,1.0454,0.146,0.2323
2,"((0, 1), (2, 5), (3, 4))",2071,1.072,0.1449,0.228
3,"((0, 2), (1, 3), (4, 5))",2071,1.027,0.1409,0.2264
4,"((0, 2), (1, 4), (3, 5))",2071,1.0015,0.1325,0.2165
5,"((0, 2), (1, 5), (3, 4))",2071,1.0669,0.142,0.2165
6,"((0, 3), (1, 2), (4, 5))",2071,1.0315,0.144,0.2264
7,"((0, 3), (1, 4), (2, 5))",2071,1.0043,0.1377,0.228
8,"((0, 3), (1, 5), (2, 4))",2071,1.0422,0.1483,0.2323
9,"((0, 4), (1, 2), (3, 5))",2071,1.0632,0.1424,0.2129
10,"((0, 4), (1, 3), (2, 5))",2071,1.0604,0.1445,0.2371
11,"((0, 4), (1, 5), (2, 3))",2071,1.0988,0.1456,0.2027
12,"((0, 5), (1, 2), (3, 4))",2071,1.0248,0.1325,0.2129
13,"((0, 5), (1, 3), (2, 4))",2071,0.9957,0.1357,0.2414
14,"((0, 5), (1, 4), (2, 3))",2071,0.9937,0.1263,0.1895
